"IV","DV","beta","se","CI_low","CI_high","t","df_error","p","p.adj"
"Average_speed","LIFESATISFACTION",0.114358096624325,0.0216687388756962,0.0718686392261696,0.156847554022481,5.27756124988843,2636,0.00000014156888311025,0.000040771838335752
"TripsAMPeak","LIFESATISFACTION",0.0727173402563065,0.0184736724949726,0.036492974594537,0.108941705918076,3.93626877796473,2636,0.0000848998489578588,0.0244511564998633
"PercentTripsAMPeak_n","LIFESATISFACTION",0.103904903489812,0.0185217135027744,0.0675863359288882,0.140223471050735,5.60989691770404,2636,0.0000000223526216044089,0.00000643755502206976
"PercentTripsPMPeak_n","LIFESATISFACTION",-0.100170222902503,0.0186401990344022,-0.136721124517442,-0.0636193212875645,-5.37388161562171,2636,0.0000000838033415588206,0.0000241353623689403
"DecelerationPer1000Miles","LIFESATISFACTION",-0.0795691558648516,0.0187323530342998,-0.116300758972165,-0.0428375527575378,-4.24768611392049,2636,0.0000223477567850336,0.00643615395408968
"MilesPerChain_n","cog",-0.0714323989060806,0.0188532934632448,-0.108401149788023,-0.0344636480241384,-3.78885519632634,2636,0.000154729571992388,0.0445621167338078
"DaysDriving","phys",-0.120912603891447,0.0189954723628905,-0.158160148307894,-0.0836650594750006,-6.36533809644354,2636,0.000000000229052011920327,0.0000000659669794330543
"Trips","phys",-0.120592614026497,0.0190559627732793,-0.15795877193171,-0.0832264561212839,-6.32834013485767,2636,0.000000000290242757513061,0.0000000835899141637616
"TripChains","phys",-0.0906895186018831,0.0196026018263146,-0.129127561534155,-0.0522514756696111,-4.62640211770977,2636,0.0000039005113749821,0.00112334727599484
"MinutesPerTrip_n","phys",0.101788598769645,0.0195659172860049,0.0634224892443702,0.14015470829492,5.20234228131243,2636,0.000000211914011181269,0.0000610312352202054
"MinutesPerChain_n","phys",0.0731252837359117,0.0192701430550535,0.0353391473534014,0.110911420118422,3.79474524537767,2636,0.000151121791518068,0.0435230759572035
"Average_speed","phys",-0.137136528824397,0.0224771454233826,-0.181211161795776,-0.0930618958530179,-6.10115413862723,2636,0.00000000120781985395812,0.000000347852117939938
"LeftTurnCount","phys",-0.0778260164908797,0.0196614673524767,-0.116379486734378,-0.0392725462473814,-3.95830153953774,2636,0.0000774800743813461,0.0223142614218277
"TripsAMPeak","phys",-0.116768612853772,0.0191180879307143,-0.154256589764943,-0.0792806359426019,-6.10775582144787,2636,0.00000000115958726531019,0.000000333961132409336
"PercentTripsAMPeak_n","phys",-0.100133491184817,0.0192625449690948,-0.137904728751503,-0.0623622536181304,-5.19835210484767,2636,0.000000216465522610832,0.0000623420705119196
"TripsLt15Miles","phys",-0.11500771194295,0.0190747124799732,-0.152410635479443,-0.0776047884064579,-6.0293287284775,2636,0.00000000187680044646853,0.000000540518528582936
"Average_speed","fati",-0.0997819419808736,0.0229793749771995,-0.144841378975847,-0.0547225049859003,-4.34223916359253,2636,0.0000146362041818565,0.00421522680437468
"PercentTripsPMPeak_n","fati",0.0790290219953196,0.0197822502708893,0.0402387128339795,0.11781933115666,3.99494602045427,2636,0.0000664809580181379,0.0191465159092237
"Average_speed","socialrole",-0.118276953943323,0.0230250606334552,-0.16342597431259,-0.0731279335740551,-5.13687915207777,2636,0.000000299745037392941,0.000086326570769167
"PercentTripsAMPeak_n","socialrole",-0.078097203184863,0.0197342059603619,-0.116793303970853,-0.0394011023988735,-3.95745353736192,2636,0.0000777539225032351,0.0223931296809317
"PercentTripsPMPeak_n","socialrole",0.107955676876873,0.0197983339929245,0.0691338297185072,0.146777524035239,5.45276571834046,2636,0.0000000541949565435842,0.0000156081474845522
"Miles_n","iso",-0.0917880245767065,0.0204405794505371,-0.131869227951737,-0.0517068212016757,-4.49048055603407,2636,0.00000741189986767285,0.00213462716188978
"Trips","iso",-0.0783813782822717,0.019502551357389,-0.116623235817624,-0.0401395207469195,-4.01903201514069,2636,0.0000600752254705775,0.0173016649355263
"TripMinutes_n","iso",-0.0919106690566905,0.0201031005058328,-0.131330122002864,-0.052491216110517,-4.57196485835719,2636,0.00000505462914491802,0.00145573319373639
"LeftTurnCount","iso",-0.0776331827360034,0.0200346728958155,-0.116918458421683,-0.0383479070503234,-3.87494136488838,2636,0.000109249738420909,0.0314639246652219
"Miles_n","dep",-0.0781024832775776,0.020494773384141,-0.118289953604567,-0.0379150129505886,-3.81084883514808,2636,0.000141658230417825,0.0407975703603336
"MilesPerChain_n","dep",-0.076563606182471,0.0200595066473414,-0.115897577485997,-0.0372296348789449,-3.81682398916916,2636,0.000138291085804945,0.0398278327118243
"Average_speed","dep",-0.112387632647948,0.0229947240732391,-0.157477167138027,-0.0672980981578677,-4.88753995438208,2636,0.0000010822633316588,0.000311691839517733
"MilesPerTrip_n","anx",-0.0799239564946984,0.0206537319023464,-0.120423122911899,-0.0394247900774982,-3.86971017502259,2636,0.000111606947079891,0.0321428007590086
"Average_speed","anx",-0.119957418688921,0.0230458821675947,-0.165147267262029,-0.0747675701158128,-5.20515629718854,2636,0.000000208759910772577,0.0000601228543025021
